Timestamp,Acceleration RMS (g)
2024-05-01 00:00:00,0.02075
2024-05-01 01:00:00,0.0198
2024-05-01 02:00:00,0.02099
2024-05-01 03:00:00,0.02231
2024-05-01 04:00:00,0.01968
2024-05-01 05:00:00,0.01968
2024-05-01 06:00:00,0.02241
2024-05-01 07:00:00,0.0212
2024-05-01 08:00:00,0.01935
2024-05-01 09:00:00,0.02088
2024-05-01 10:00:00,0.01937
2024-05-01 11:00:00,0.01938
2024-05-01 12:00:00,0.02045
2024-05-01 13:00:00,0.01722
2024-05-01 14:00:00,0.01751
2024-05-01 15:00:00,0.01926
2024-05-01 16:00:00,0.01859
2024-05-01 17:00:00,0.02059
2024-05-01 18:00:00,0.01876
2024-05-01 19:00:00,0.01801
2024-05-01 20:00:00,0.02234
2024-05-01 21:00:00,0.01981
2024-05-01 22:00:00,0.02025
2024-05-01 23:00:00,0.01802
2024-05-02 00:00:00,0.01935
2024-05-02 01:00:00,0.02034
2024-05-02 02:00:00,0.01845
2024-05-02 03:00:00,0.02075
2024-05-02 04:00:00,0.01929
2024-05-02 05:00:00,0.01976
2024-05-02 06:00:00,0.01931
2024-05-02 07:00:00,0.02299
2024-05-02 08:00:00,0.0202
2024-05-02 09:00:00,0.01864
2024-05-02 10:00:00,0.02147
2024-05-02 11:00:00,0.01841
2024-05-02 12:00:00,0.02056
2024-05-02 13:00:00,0.01732
2024-05-02 14:00:00,0.01827
2024-05-02 15:00:00,0.02057
2024-05-02 16:00:00,0.02139
2024-05-02 17:00:00,0.02054
2024-05-02 18:00:00,0.02012
2024-05-02 19:00:00,0.01985
2024-05-02 20:00:00,0.01809
2024-05-02 21:00:00,0.01923
2024-05-02 22:00:00,0.01963
2024-05-02 23:00:00,0.02191
2024-05-03 00:00:00,0.02085
2024-05-03 01:00:00,0.0177
2024-05-03 02:00:00,0.02083
2024-05-03 03:00:00,0.01978
2024-05-03 04:00:00,0.01935
2024-05-03 05:00:00,0.02129
2024-05-03 06:00:00,0.02192
2024-05-03 07:00:00,0.02178
2024-05-03 08:00:00,0.01913
2024-05-03 09:00:00,0.01993
2024-05-03 10:00:00,0.0209
2024-05-03 11:00:00,0.02187
2024-05-03 12:00:00,0.0197
2024-05-03 13:00:00,0.02015
2024-05-03 14:00:00,0.01877
2024-05-03 15:00:00,0.01864
2024-05-03 16:00:00,0.02166
2024-05-03 17:00:00,0.02249
2024-05-03 18:00:00,0.02035
2024-05-03 19:00:00,0.02197
2024-05-03 20:00:00,0.02102
2024-05-03 21:00:00,0.01951
2024-05-03 22:00:00,0.02103
2024-05-03 23:00:00,0.0228
2024-05-04 00:00:00,0.02045
2024-05-04 01:00:00,0.02285
2024-05-04 02:00:00,0.01658
2024-05-04 03:00:00,0.02175
2024-05-04 04:00:00,0.02066
2024-05-04 05:00:00,0.02009
2024-05-04 06:00:00,0.02068
2024-05-04 07:00:00,0.01757
2024-05-04 08:00:00,0.02023
2024-05-04 09:00:00,0.0211
2024-05-04 10:00:00,0.02279
2024-05-04 11:00:00,0.0198
2024-05-04 12:00:00,0.01937
2024-05-04 13:00:00,0.01984
2024-05-04 14:00:00,0.02197
2024-05-04 15:00:00,0.0211
2024-05-04 16:00:00,0.01982
2024-05-04 17:00:00,0.02139
2024-05-04 18:00:00,0.02077
2024-05-04 19:00:00,0.02209
2024-05-04 20:00:00,0.01959
2024-05-04 21:00:00,0.02015
2024-05-04 22:00:00,0.02007
2024-05-04 23:00:00,0.01846
2024-05-05 00:00:00,0.02111
2024-05-05 01:00:00,0.02107
2024-05-05 02:00:00,0.02069
2024-05-05 03:00:00,0.02034
2024-05-05 04:00:00,0.01857
2024-05-05 05:00:00,0.02007
2024-05-05 06:00:00,0.02019
2024-05-05 07:00:00,0.01951
2024-05-05 08:00:00,0.02048
2024-05-05 09:00:00,0.02134
2024-05-05 10:00:00,0.02357
2024-05-05 11:00:00,0.02101
2024-05-05 12:00:00,0.02114
2024-05-05 13:00:00,0.02065
2024-05-05 14:00:00,0.01789
2024-05-05 15:00:00,0.02073
2024-05-05 16:00:00,0.02087
2024-05-05 17:00:00,0.02448
2024-05-05 18:00:00,0.0205
2024-05-05 19:00:00,0.02125
2024-05-05 20:00:00,0.02075
2024-05-05 21:00:00,0.01906
2024-05-05 22:00:00,0.02253
2024-05-05 23:00:00,0.02195
2024-05-06 00:00:00,0.02202
2024-05-06 01:00:00,0.01948
2024-05-06 02:00:00,0.02295
2024-05-06 03:00:00,0.01875
2024-05-06 04:00:00,0.02174
2024-05-06 05:00:00,0.02415
2024-05-06 06:00:00,0.01939
2024-05-06 07:00:00,0.02003
2024-05-06 08:00:00,0.02104
2024-05-06 09:00:00,0.02014
2024-05-06 10:00:00,0.01858
2024-05-06 11:00:00,0.02101
2024-05-06 12:00:00,0.01932
2024-05-06 13:00:00,0.02163
2024-05-06 14:00:00,0.01955
2024-05-06 15:00:00,0.02326
2024-05-06 16:00:00,0.01977
2024-05-06 17:00:00,0.02047
2024-05-06 18:00:00,0.02218
2024-05-06 19:00:00,0.01912
2024-05-06 20:00:00,0.02131
2024-05-06 21:00:00,0.02294
2024-05-06 22:00:00,0.01858
2024-05-06 23:00:00,0.02127
2024-05-07 00:00:00,0.02139
2024-05-07 01:00:00,0.02218
2024-05-07 02:00:00,0.01916
2024-05-07 03:00:00,0.01904
2024-05-07 04:00:00,0.02181
2024-05-07 05:00:00,0.02148
2024-05-07 06:00:00,0.02142
2024-05-07 07:00:00,0.02157
2024-05-07 08:00:00,0.02004
2024-05-07 09:00:00,0.02141
2024-05-07 10:00:00,0.02151
2024-05-07 11:00:00,0.02001
2024-05-07 12:00:00,0.02388
2024-05-07 13:00:00,0.0218
2024-05-07 14:00:00,0.01931
2024-05-07 15:00:00,0.02209
2024-05-07 16:00:00,0.01965
2024-05-07 17:00:00,0.0223
2024-05-07 18:00:00,0.02286
2024-05-07 19:00:00,0.0199
2024-05-07 20:00:00,0.02258
2024-05-07 21:00:00,0.02177
2024-05-07 22:00:00,0.02239
2024-05-07 23:00:00,0.02401
2024-05-08 00:00:00,0.0208
2024-05-08 01:00:00,0.02004
2024-05-08 02:00:00,0.01985
2024-05-08 03:00:00,0.01996
2024-05-08 04:00:00,0.02108
2024-05-08 05:00:00,0.02171
2024-05-08 06:00:00,0.02162
2024-05-08 07:00:00,0.02246
2024-05-08 08:00:00,0.02124
2024-05-08 09:00:00,0.02341
2024-05-08 10:00:00,0.02084
2024-05-08 11:00:00,0.02532
2024-05-08 12:00:00,0.02219
2024-05-08 13:00:00,0.01997
2024-05-08 14:00:00,0.01966
2024-05-08 15:00:00,0.022
2024-05-08 16:00:00,0.02094
2024-05-08 17:00:00,0.02236
2024-05-08 18:00:00,0.022
2024-05-08 19:00:00,0.02119
2024-05-08 20:00:00,0.02004
2024-05-08 21:00:00,0.01904
2024-05-08 22:00:00,0.02065
2024-05-08 23:00:00,0.02261
2024-05-09 00:00:00,0.02166
2024-05-09 01:00:00,0.01947
2024-05-09 02:00:00,0.02161
2024-05-09 03:00:00,0.02193
2024-05-09 04:00:00,0.02004
2024-05-09 05:00:00,0.0216
2024-05-09 06:00:00,0.02146
2024-05-09 07:00:00,0.01967
2024-05-09 08:00:00,0.02193
2024-05-09 09:00:00,0.02224
2024-05-09 10:00:00,0.02303
2024-05-09 11:00:00,0.02299
2024-05-09 12:00:00,0.01935
2024-05-09 13:00:00,0.02002
2024-05-09 14:00:00,0.0222
2024-05-09 15:00:00,0.02221
2024-05-09 16:00:00,0.02222
2024-05-09 17:00:00,0.02723
2024-05-09 18:00:00,0.02232
2024-05-09 19:00:00,0.02317
2024-05-09 20:00:00,0.0229
2024-05-09 21:00:00,0.02246
2024-05-09 22:00:00,0.02101
2024-05-09 23:00:00,0.02263
2024-05-10 00:00:00,0.02034
2024-05-10 01:00:00,0.02115
2024-05-10 02:00:00,0.02079
2024-05-10 03:00:00,0.02164
2024-05-10 04:00:00,0.025
2024-05-10 05:00:00,0.01873
2024-05-10 06:00:00,0.02257
2024-05-10 07:00:00,0.01913
2024-05-10 08:00:00,0.02085
2024-05-10 09:00:00,0.0232
2024-05-10 10:00:00,0.02167
2024-05-10 11:00:00,0.01996
2024-05-10 12:00:00,0.02051
2024-05-10 13:00:00,0.02261
2024-05-10 14:00:00,0.0205
2024-05-10 15:00:00,0.02193
2024-05-10 16:00:00,0.02168
2024-05-10 17:00:00,0.02064
2024-05-10 18:00:00,0.02484
2024-05-10 19:00:00,0.02258
2024-05-10 20:00:00,0.0186
2024-05-10 21:00:00,0.02193
2024-05-10 22:00:00,0.02066
2024-05-10 23:00:00,0.02294
2024-05-11 00:00:00,0.02048
2024-05-11 01:00:00,0.0215
2024-05-11 02:00:00,0.02244
2024-05-11 03:00:00,0.02299
2024-05-11 04:00:00,0.0199
2024-05-11 05:00:00,0.0212
2024-05-11 06:00:00,0.021
2024-05-11 07:00:00,0.02074
2024-05-11 08:00:00,0.02437
2024-05-11 09:00:00,0.02234
2024-05-11 10:00:00,0.01985
2024-05-11 11:00:00,0.02312
2024-05-11 12:00:00,0.02493
2024-05-11 13:00:00,0.02331
2024-05-11 14:00:00,0.01949
2024-05-11 15:00:00,0.02105
2024-05-11 16:00:00,0.02368
2024-05-11 17:00:00,0.02072
2024-05-11 18:00:00,0.02246
2024-05-11 19:00:00,0.02296
2024-05-11 20:00:00,0.02042
2024-05-11 21:00:00,0.02172
2024-05-11 22:00:00,0.01696
